"","start.min","start.sec","common_name","confidence","ARU.ID","Date"
"1",9,18,"Red-breasted Nuthatch",0.341638088226318,"SMM01",2023-06-01
"2",10,18,"Western Tanager",0.791027247905731,"SMM01",2023-06-01
"3",10,51,"Western Tanager",0.646039247512817,"SMM01",2023-06-01
"4",13,36,"Red-breasted Nuthatch",0.620656073093414,"SMM01",2023-06-01
"5",15,30,"Hermit Thrush",0.799777686595917,"SMM01",2023-06-01
"6",17,6,"Red-breasted Nuthatch",0.501950979232788,"SMM01",2023-06-01
"7",17,51,"Red-breasted Nuthatch",0.378375917673111,"SMM01",2023-06-01
"8",18,39,"Red-breasted Nuthatch",0.585354208946228,"SMM01",2023-06-01
"9",19,6,"Red-breasted Nuthatch",0.550204336643219,"SMM01",2023-06-01
"10",19,15,"Red-breasted Nuthatch",0.33077597618103,"SMM01",2023-06-01
"11",19,27,"Red-breasted Nuthatch",0.710320830345154,"SMM01",2023-06-01
"12",21,54,"Red-breasted Nuthatch",0.515829622745514,"SMM01",2023-06-01
"13",23,27,"Red-breasted Nuthatch",0.376226902008057,"SMM01",2023-06-01
"14",28,30,"Hammond's Flycatcher",0.336779624223709,"SMM01",2023-06-01
"15",31,27,"Hammond's Flycatcher",0.416301637887955,"SMM01",2023-06-01
"16",31,45,"Hammond's Flycatcher",0.568964004516602,"SMM01",2023-06-01
"17",32,36,"Hammond's Flycatcher",0.632560074329376,"SMM01",2023-06-01
"18",32,42,"Hammond's Flycatcher",0.843940198421478,"SMM01",2023-06-01
"19",32,45,"Hammond's Flycatcher",0.62203586101532,"SMM01",2023-06-01
"20",32,54,"Hammond's Flycatcher",0.89593106508255,"SMM01",2023-06-01
"21",33,0,"Hammond's Flycatcher",0.908466875553131,"SMM01",2023-06-01
"22",33,6,"Hammond's Flycatcher",0.389210909605026,"SMM01",2023-06-01
"23",33,12,"Hammond's Flycatcher",0.53212696313858,"SMM01",2023-06-01
"24",33,18,"Hammond's Flycatcher",0.752107083797455,"SMM01",2023-06-01
"25",33,24,"Hammond's Flycatcher",0.832558691501617,"SMM01",2023-06-01
"26",33,33,"Hammond's Flycatcher",0.541888296604156,"SMM01",2023-06-01
"27",33,39,"Hammond's Flycatcher",0.677938640117645,"SMM01",2023-06-01
"28",33,42,"Hammond's Flycatcher",0.780981361865997,"SMM01",2023-06-01
"29",33,51,"Hammond's Flycatcher",0.67699784040451,"SMM01",2023-06-01
"30",33,54,"Hammond's Flycatcher",0.461372077465057,"SMM01",2023-06-01
"31",33,57,"Hammond's Flycatcher",0.881443440914154,"SMM01",2023-06-01
"32",34,0,"Hammond's Flycatcher",0.540968120098114,"SMM01",2023-06-01
"33",34,6,"Hammond's Flycatcher",0.389780849218369,"SMM01",2023-06-01
"34",34,9,"Hammond's Flycatcher",0.547773003578186,"SMM01",2023-06-01
"35",34,12,"Hammond's Flycatcher",0.911441802978516,"SMM01",2023-06-01
"36",34,18,"Hammond's Flycatcher",0.583903729915619,"SMM01",2023-06-01
"37",34,21,"Hammond's Flycatcher",0.671650648117065,"SMM01",2023-06-01
"38",34,30,"Hammond's Flycatcher",0.490590661764145,"SMM01",2023-06-01
"39",34,33,"Hammond's Flycatcher",0.809971928596497,"SMM01",2023-06-01
"40",34,36,"Hammond's Flycatcher",0.462283432483673,"SMM01",2023-06-01
"41",34,48,"Hammond's Flycatcher",0.929916739463806,"SMM01",2023-06-01
"42",34,54,"Hammond's Flycatcher",0.872383892536163,"SMM01",2023-06-01
"43",35,0,"Hammond's Flycatcher",0.634749591350555,"SMM01",2023-06-01
"44",35,3,"Hammond's Flycatcher",0.749864101409912,"SMM01",2023-06-01
"45",35,6,"Hammond's Flycatcher",0.494731843471527,"SMM01",2023-06-01
"46",35,9,"Hammond's Flycatcher",0.577386975288391,"SMM01",2023-06-01
"47",35,12,"Hammond's Flycatcher",0.53364622592926,"SMM01",2023-06-01
"48",35,15,"Hammond's Flycatcher",0.771363079547882,"SMM01",2023-06-01
"49",35,18,"Hammond's Flycatcher",0.849923849105835,"SMM01",2023-06-01
"50",35,21,"Hammond's Flycatcher",0.842216193675995,"SMM01",2023-06-01
"51",35,24,"Hammond's Flycatcher",0.43509504199028,"SMM01",2023-06-01
"52",35,33,"Hammond's Flycatcher",0.681910753250122,"SMM01",2023-06-01
"53",35,36,"Hammond's Flycatcher",0.730827987194061,"SMM01",2023-06-01
"54",35,39,"Hammond's Flycatcher",0.86676824092865,"SMM01",2023-06-01
"55",36,27,"Mountain Chickadee",0.30745255947113,"SMM01",2023-06-01
"56",37,21,"Western Tanager",0.807711482048035,"SMM01",2023-06-01
"57",37,24,"Western Tanager",0.471303164958954,"SMM01",2023-06-01
"58",37,33,"Western Tanager",0.93433278799057,"SMM01",2023-06-01
"59",37,36,"Western Tanager",0.617348730564117,"SMM01",2023-06-01
"60",38,39,"Red-breasted Nuthatch",0.653856992721558,"SMM01",2023-06-01
"61",38,42,"Hammond's Flycatcher",0.443759083747864,"SMM01",2023-06-01
"62",39,6,"Mountain Chickadee",0.676725566387177,"SMM01",2023-06-01
"63",39,30,"Hammond's Flycatcher",0.811838686466217,"SMM01",2023-06-01
"64",40,24,"Red-breasted Nuthatch",0.301630795001984,"SMM01",2023-06-01
"65",41,18,"Hammond's Flycatcher",0.844704747200012,"SMM01",2023-06-01
"66",41,24,"Hammond's Flycatcher",0.8774294257164,"SMM01",2023-06-01
"67",41,27,"Hammond's Flycatcher",0.394824028015137,"SMM01",2023-06-01
"68",42,24,"Hammond's Flycatcher",0.3222396671772,"SMM01",2023-06-01
"69",43,36,"Red-breasted Nuthatch",0.527271032333374,"SMM01",2023-06-01
"70",43,45,"Hammond's Flycatcher",0.319124132394791,"SMM01",2023-06-01
"71",46,15,"Red-breasted Nuthatch",0.559335649013519,"SMM01",2023-06-01
"72",48,12,"Red-breasted Nuthatch",0.379069954156876,"SMM01",2023-06-01
"73",50,3,"Hammond's Flycatcher",0.337808966636658,"SMM01",2023-06-01
"74",51,51,"Northern Flicker",0.361451685428619,"SMM01",2023-06-01
"75",52,39,"Hammond's Flycatcher",0.886914193630219,"SMM01",2023-06-01
"76",54,12,"Western Tanager",0.346166759729385,"SMM01",2023-06-01
"77",54,24,"Hammond's Flycatcher",0.810778856277466,"SMM01",2023-06-01
"78",55,54,"Western Tanager",0.313591569662094,"SMM01",2023-06-01
"79",56,18,"Western Tanager",0.301302462816238,"SMM01",2023-06-01
"80",11,42,"Black-headed Grosbeak",0.32094407081604,"SMM01",2023-06-02
"81",14,30,"Swainson's Thrush",0.39902475476265,"SMM01",2023-06-02
"82",14,36,"Swainson's Thrush",0.59864616394043,"SMM01",2023-06-02
"83",14,39,"Swainson's Thrush",0.679516851902008,"SMM01",2023-06-02
"84",14,48,"Swainson's Thrush",0.467614114284515,"SMM01",2023-06-02
"85",14,51,"Swainson's Thrush",0.911286354064941,"SMM01",2023-06-02
"86",14,57,"Swainson's Thrush",0.832968533039093,"SMM01",2023-06-02
"87",15,0,"Swainson's Thrush",0.881619453430176,"SMM01",2023-06-02
"88",15,6,"Swainson's Thrush",0.537104070186615,"SMM01",2023-06-02
