"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","American Robin",0.426851809024811,"SMM01","20230603",9,51,591,NA
"2","American Robin",0.599278509616852,"SMM01","20230605",5,33,333,NA
"3","American Robin",0.593954265117645,"SMM01","20230606",1,18,78,NA
"4","American Robin",0.625004410743713,"SMM01","20230606",2,12,132,NA
"5","American Robin",0.317165911197662,"SMM01","20230613",11,54,714,NA
"6","American Robin",0.305570423603058,"SMM01","20230614",19,24,1164,NA
"7","American Robin",0.574342966079712,"SMM01","20230614",24,54,1494,NA
"8","American Robin",0.367591828107834,"SMM01","20230616",2,12,132,NA
"9","American Robin",0.456005394458771,"SMM01","20230616",11,24,684,NA
"10","American Robin",0.362547129392624,"SMM01","20230616",11,42,702,NA
"11","American Robin",0.390824466943741,"SMM01","20230618",59,6,3546,NA
"12","American Robin",0.436649054288864,"SMM01","20230618",59,12,3552,NA
"13","American Robin",0.457286804914474,"SMM01","20230620",15,6,906,NA
"14","American Robin",0.382943123579025,"SMM01","20230620",15,24,924,NA
"15","American Robin",0.358996957540512,"SMM01","20230625",43,6,2586,NA
"16","American Robin",0.595610439777374,"SMM02","20230603",9,54,594,NA
"17","American Robin",0.406843096017838,"SMM02","20230605",4,9,249,NA
"18","American Robin",0.468291401863098,"SMM02","20230605",5,24,324,NA
"19","American Robin",0.300052672624588,"SMM02","20230606",1,33,93,NA
"20","American Robin",0.735821962356567,"SMM02","20230606",2,42,162,NA
"21","American Robin",0.597907960414886,"SMM02","20230606",2,48,168,NA
"22","American Robin",0.365607559680939,"SMM02","20230607",24,15,1455,NA
"23","American Robin",0.410477310419083,"SMM02","20230607",25,51,1551,NA
"24","American Robin",0.454568356275558,"SMM02","20230607",45,21,2721,NA
"25","American Robin",0.523838996887207,"SMM02","20230613",0,57,57,NA
"26","American Robin",0.301164716482162,"SMM02","20230615",13,6,786,NA
"27","American Robin",0.317195773124695,"SMM02","20230616",5,36,336,NA
"28","American Robin",0.382364928722382,"SMM02","20230616",9,42,582,NA
"29","American Robin",0.679522931575775,"SMM02","20230616",9,45,585,NA
"30","American Robin",0.308594703674316,"SMM02","20230616",9,51,591,NA
"31","American Robin",0.663734555244446,"SMM02","20230616",10,18,618,NA
"32","American Robin",0.438666552305222,"SMM02","20230616",10,48,648,NA
"33","American Robin",0.43890118598938,"SMM02","20230616",11,0,660,NA
"34","American Robin",0.304122030735016,"SMM02","20230616",18,0,1080,NA
"35","American Robin",0.312140882015228,"SMM02","20230616",18,45,1125,NA
"36","American Robin",0.43421345949173,"SMM02","20230616",20,57,1257,NA
"37","American Robin",0.335637181997299,"SMM02","20230616",27,9,1629,NA
"38","American Robin",0.502910256385803,"SMM02","20230616",27,30,1650,NA
"39","American Robin",0.40005499124527,"SMM02","20230616",29,6,1746,NA
"40","American Robin",0.355113744735718,"SMM02","20230616",33,3,1983,NA
"41","American Robin",0.429659217596054,"SMM02","20230617",8,45,525,NA
"42","American Robin",0.497269719839096,"SMM02","20230620",0,39,39,NA
"43","American Robin",0.352515876293182,"SMM02","20230620",0,57,57,NA
"44","American Robin",0.335593998432159,"SMM02","20230620",2,3,123,NA
"45","American Robin",0.410697638988495,"SMM02","20230620",2,36,156,NA
"46","American Robin",0.339899152517319,"SMM11","20230601",4,21,261,NA
"47","American Robin",0.455648332834244,"SMM11","20230601",6,6,366,NA
"48","American Robin",0.595615923404694,"SMM11","20230601",25,12,1512,NA
"49","American Robin",0.399406671524048,"SMM11","20230601",47,45,2865,NA
"50","American Robin",0.364300310611725,"SMM11","20230601",48,0,2880,NA
"51","American Robin",0.308521002531052,"SMM11","20230601",48,3,2883,NA
"52","American Robin",0.705302476882935,"SMM11","20230601",50,24,3024,NA
"53","American Robin",0.481814384460449,"SMM11","20230605",3,57,237,NA
"54","American Robin",0.384650707244873,"SMM11","20230605",4,57,297,NA
"55","American Robin",0.554069221019745,"SMM11","20230605",6,42,402,NA
"56","American Robin",0.441034764051437,"SMM11","20230605",12,12,732,NA
"57","American Robin",0.541980922222137,"SMM11","20230605",14,21,861,NA
"58","American Robin",0.704403400421143,"SMM11","20230605",17,36,1056,NA
"59","American Robin",0.349000662565231,"SMM11","20230605",18,36,1116,NA
"60","American Robin",0.402395397424698,"SMM11","20230605",18,45,1125,NA
"61","American Robin",0.330356687307358,"SMM11","20230605",20,33,1233,NA
"62","American Robin",0.346236497163773,"SMM11","20230605",21,3,1263,NA
"63","American Robin",0.551026284694672,"SMM11","20230605",21,30,1290,NA
"64","American Robin",0.389846801757812,"SMM11","20230605",22,0,1320,NA
