"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","Black-headed Grosbeak",0.316834300756454,"SMM02","20230605",6,6,366,NA
"2","Black-headed Grosbeak",0.801001608371735,"SMM05","20230615",27,24,1644,NA
"3","Black-headed Grosbeak",0.855909049510956,"SMM05","20230615",28,12,1692,NA
"4","Black-headed Grosbeak",0.903777778148651,"SMM05","20230616",0,9,9,NA
"5","Black-headed Grosbeak",0.37182742357254,"SMM05","20230616",0,30,30,NA
"6","Black-headed Grosbeak",0.936031520366669,"SMM05","20230616",1,12,72,NA
"7","Black-headed Grosbeak",0.889099717140198,"SMM05","20230616",1,15,75,NA
"8","Black-headed Grosbeak",0.909497439861298,"SMM05","20230616",1,21,81,NA
"9","Black-headed Grosbeak",0.640378177165985,"SMM05","20230616",1,27,87,NA
"10","Black-headed Grosbeak",0.565086305141449,"SMM05","20230616",1,48,108,NA
"11","Black-headed Grosbeak",0.571511566638947,"SMM05","20230618",0,54,54,NA
"12","Black-headed Grosbeak",0.752578556537628,"SMM05","20230618",0,57,57,NA
"13","Black-headed Grosbeak",0.87542337179184,"SMM05","20230618",1,42,102,NA
"14","Black-headed Grosbeak",0.401542842388153,"SMM05","20230618",3,51,231,NA
"15","Black-headed Grosbeak",0.627531468868256,"SMM05","20230618",4,21,261,NA
"16","Black-headed Grosbeak",0.710677564144135,"SMM05","20230619",42,39,2559,NA
"17","Black-headed Grosbeak",0.895771026611328,"SMM05","20230620",23,39,1419,NA
"18","Black-headed Grosbeak",0.753457844257355,"SMM05","20230620",23,48,1428,NA
"19","Black-headed Grosbeak",0.600426018238068,"SMM05","20230621",3,18,198,NA
"20","Black-headed Grosbeak",0.661882638931274,"SMM05","20230622",49,42,2982,NA
"21","Black-headed Grosbeak",0.482061743736267,"SMM05","20230622",50,54,3054,NA
"22","Black-headed Grosbeak",0.435231238603592,"SMM05","20230622",55,33,3333,NA
"23","Black-headed Grosbeak",0.888654232025146,"SMM05","20230624",3,18,198,NA
"24","Black-headed Grosbeak",0.502876818180084,"SMM05","20230625",4,3,243,NA
"25","Black-headed Grosbeak",0.351733833551407,"SMM07","20230604",22,45,1365,NA
"26","Black-headed Grosbeak",0.386976808309555,"SMM07","20230604",32,54,1974,NA
"27","Black-headed Grosbeak",0.603796720504761,"SMM07","20230604",45,24,2724,NA
"28","Black-headed Grosbeak",0.785529136657715,"SMM07","20230604",45,27,2727,NA
"29","Black-headed Grosbeak",0.726756513118744,"SMM07","20230604",45,51,2751,NA
"30","Black-headed Grosbeak",0.328265696763992,"SMM07","20230604",46,57,2817,NA
"31","Black-headed Grosbeak",0.783814609050751,"SMM07","20230604",56,42,3402,NA
"32","Black-headed Grosbeak",0.841578781604767,"SMM07","20230604",57,12,3432,NA
"33","Black-headed Grosbeak",0.476332128047943,"SMM07","20230605",33,48,2028,NA
"34","Black-headed Grosbeak",0.312359929084778,"SMM07","20230606",9,18,558,NA
"35","Black-headed Grosbeak",0.695320427417755,"SMM07","20230607",0,18,18,NA
"36","Black-headed Grosbeak",0.912532448768616,"SMM07","20230607",1,15,75,NA
"37","Black-headed Grosbeak",0.408001780509949,"SMM07","20230607",2,12,132,NA
"38","Black-headed Grosbeak",0.946735858917236,"SMM07","20230607",2,51,171,NA
"39","Black-headed Grosbeak",0.431447237730026,"SMM07","20230610",49,57,2997,NA
"40","Black-headed Grosbeak",0.856896877288818,"SMM07","20230610",50,21,3021,NA
"41","Black-headed Grosbeak",0.477795958518982,"SMM07","20230610",56,42,3402,NA
"42","Black-headed Grosbeak",0.33316758275032,"SMM07","20230611",0,36,36,NA
"43","Black-headed Grosbeak",0.750643074512482,"SMM07","20230611",3,6,186,NA
"44","Black-headed Grosbeak",0.729841768741608,"SMM07","20230611",3,30,210,NA
"45","Black-headed Grosbeak",0.55503123998642,"SMM07","20230611",18,24,1104,NA
"46","Black-headed Grosbeak",0.343728601932526,"SMM07","20230612",1,9,69,NA
