"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","House Wren",0.347355216741562,"SMM01","20230605",30,6,1806,NA
"2","House Wren",0.442808568477631,"SMM01","20230605",40,57,2457,NA
"3","House Wren",0.38567453622818,"SMM01","20230605",43,51,2631,NA
"4","House Wren",0.328990399837494,"SMM01","20230605",52,30,3150,NA
"5","House Wren",0.552295863628387,"SMM01","20230605",53,3,3183,NA
"6","House Wren",0.326409161090851,"SMM01","20230606",33,0,1980,NA
"7","House Wren",0.371299803256989,"SMM01","20230606",40,51,2451,NA
"8","House Wren",0.435923397541046,"SMM01","20230606",41,39,2499,NA
"9","House Wren",0.563395321369171,"SMM01","20230606",41,48,2508,NA
"10","House Wren",0.497008919715881,"SMM01","20230606",42,3,2523,NA
"11","House Wren",0.578472852706909,"SMM01","20230606",44,0,2640,NA
"12","House Wren",0.416842073202133,"SMM01","20230606",45,39,2739,NA
"13","House Wren",0.318066209554672,"SMM01","20230606",46,9,2769,NA
"14","House Wren",0.313734531402588,"SMM01","20230606",55,6,3306,NA
"15","House Wren",0.344271451234818,"SMM01","20230606",57,15,3435,NA
"16","House Wren",0.325708538293839,"SMM01","20230606",57,30,3450,NA
"17","House Wren",0.434852629899979,"SMM01","20230606",57,57,3477,NA
"18","House Wren",0.43690612912178,"SMM01","20230606",59,6,3546,NA
"19","House Wren",0.528325736522675,"SMM01","20230607",35,51,2151,NA
"20","House Wren",0.461751908063889,"SMM01","20230607",38,39,2319,NA
"21","House Wren",0.302104920148849,"SMM01","20230607",39,39,2379,NA
"22","House Wren",0.452102601528168,"SMM01","20230607",39,48,2388,NA
"23","House Wren",0.453231781721115,"SMM01","20230607",40,39,2439,NA
"24","House Wren",0.495068222284317,"SMM01","20230607",41,18,2478,NA
"25","House Wren",0.409446030855179,"SMM01","20230607",41,42,2502,NA
"26","House Wren",0.703060448169708,"SMM01","20230607",42,3,2523,NA
"27","House Wren",0.346397817134857,"SMM01","20230607",42,12,2532,NA
"28","House Wren",0.440417677164078,"SMM01","20230607",42,15,2535,NA
"29","House Wren",0.812137246131897,"SMM01","20230607",43,21,2601,NA
"30","House Wren",0.47569665312767,"SMM01","20230607",43,27,2607,NA
"31","House Wren",0.800102114677429,"SMM01","20230607",43,30,2610,NA
"32","House Wren",0.404099583625793,"SMM01","20230607",43,42,2622,NA
"33","House Wren",0.418193221092224,"SMM01","20230607",43,51,2631,NA
"34","House Wren",0.466047763824463,"SMM01","20230607",44,6,2646,NA
"35","House Wren",0.38359060883522,"SMM01","20230607",44,36,2676,NA
"36","House Wren",0.760239362716675,"SMM01","20230607",45,48,2748,NA
"37","House Wren",0.311444759368896,"SMM01","20230607",46,9,2769,NA
"38","House Wren",0.391575515270233,"SMM01","20230607",46,48,2808,NA
"39","House Wren",0.340542614459991,"SMM01","20230607",47,3,2823,NA
"40","House Wren",0.430982798337936,"SMM01","20230607",47,21,2841,NA
"41","House Wren",0.391512870788574,"SMM01","20230607",47,30,2850,NA
"42","House Wren",0.341682344675064,"SMM01","20230607",47,33,2853,NA
"43","House Wren",0.309514433145523,"SMM01","20230607",47,39,2859,NA
"44","House Wren",0.595781803131104,"SMM01","20230607",48,6,2886,NA
"45","House Wren",0.377828747034073,"SMM01","20230607",48,51,2931,NA
"46","House Wren",0.36014261841774,"SMM01","20230607",49,42,2982,NA
"47","House Wren",0.447343289852142,"SMM01","20230607",49,48,2988,NA
"48","House Wren",0.329051911830902,"SMM01","20230607",50,51,3051,NA
"49","House Wren",0.460046172142029,"SMM01","20230607",50,57,3057,NA
"50","House Wren",0.473337680101395,"SMM01","20230607",51,21,3081,NA
"51","House Wren",0.460276335477829,"SMM01","20230607",51,33,3093,NA
"52","House Wren",0.452259361743927,"SMM01","20230607",51,42,3102,NA
"53","House Wren",0.308316767215729,"SMM01","20230607",51,48,3108,NA
"54","House Wren",0.319858640432358,"SMM01","20230607",52,9,3129,NA
"55","House Wren",0.558893024921417,"SMM01","20230607",52,36,3156,NA
"56","House Wren",0.368744611740112,"SMM01","20230607",54,30,3270,NA
"57","House Wren",0.37902957201004,"SMM01","20230607",55,54,3354,NA
"58","House Wren",0.445733904838562,"SMM01","20230607",57,42,3462,NA
"59","House Wren",0.337059170007706,"SMM01","20230607",57,48,3468,NA
"60","House Wren",0.509695708751678,"SMM01","20230607",57,54,3474,NA
"61","House Wren",0.373687893152237,"SMM01","20230607",58,12,3492,NA
"62","House Wren",0.354079991579056,"SMM01","20230607",59,15,3555,NA
