"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","Ruby-crowned Kinglet",0.358629673719406,"SMM01","20230602",23,3,1383,NA
"2","Ruby-crowned Kinglet",0.372385412454605,"SMM01","20230602",32,3,1923,NA
"3","Ruby-crowned Kinglet",0.37656307220459,"SMM01","20230603",17,12,1032,NA
"4","Ruby-crowned Kinglet",0.925333976745605,"SMM01","20230604",30,30,1830,NA
"5","Ruby-crowned Kinglet",0.36702623963356,"SMM01","20230604",31,3,1863,NA
"6","Ruby-crowned Kinglet",0.373542577028275,"SMM01","20230604",31,18,1878,NA
"7","Ruby-crowned Kinglet",0.354568958282471,"SMM01","20230604",58,51,3531,NA
"8","Ruby-crowned Kinglet",0.349300265312195,"SMM01","20230605",16,0,960,NA
"9","Ruby-crowned Kinglet",0.476650923490524,"SMM01","20230605",18,42,1122,NA
"10","Ruby-crowned Kinglet",0.832609951496124,"SMM01","20230605",27,0,1620,NA
"11","Ruby-crowned Kinglet",0.838394641876221,"SMM01","20230605",28,51,1731,NA
"12","Ruby-crowned Kinglet",0.321142137050629,"SMM01","20230605",29,21,1761,NA
"13","Ruby-crowned Kinglet",0.547249019145966,"SMM01","20230605",34,12,2052,NA
"14","Ruby-crowned Kinglet",0.347486793994904,"SMM01","20230605",40,18,2418,NA
"15","Ruby-crowned Kinglet",0.682047545909882,"SMM01","20230606",21,30,1290,NA
"16","Ruby-crowned Kinglet",0.517705142498016,"SMM01","20230606",23,42,1422,NA
"17","Ruby-crowned Kinglet",0.460148692131042,"SMM01","20230606",23,51,1431,NA
"18","Ruby-crowned Kinglet",0.386420339345932,"SMM01","20230606",25,3,1503,NA
"19","Ruby-crowned Kinglet",0.43418487906456,"SMM01","20230606",29,33,1773,NA
"20","Ruby-crowned Kinglet",0.513577163219452,"SMM01","20230606",30,24,1824,NA
"21","Ruby-crowned Kinglet",0.774141490459442,"SMM01","20230606",30,39,1839,NA
"22","Ruby-crowned Kinglet",0.497326910495758,"SMM01","20230606",30,42,1842,NA
"23","Ruby-crowned Kinglet",0.310869455337524,"SMM01","20230606",31,12,1872,NA
"24","Ruby-crowned Kinglet",0.351178497076035,"SMM01","20230606",39,15,2355,NA
"25","Ruby-crowned Kinglet",0.944597959518433,"SMM01","20230606",39,24,2364,NA
"26","Ruby-crowned Kinglet",0.545435965061188,"SMM01","20230606",42,51,2571,NA
"27","Ruby-crowned Kinglet",0.738368213176727,"SMM01","20230606",43,9,2589,NA
"28","Ruby-crowned Kinglet",0.516656160354614,"SMM01","20230606",44,30,2670,NA
"29","Ruby-crowned Kinglet",0.951121389865875,"SMM01","20230606",51,54,3114,NA
"30","Ruby-crowned Kinglet",0.310482174158096,"SMM01","20230606",53,18,3198,NA
"31","Ruby-crowned Kinglet",0.368769198656082,"SMM01","20230607",21,30,1290,NA
"32","Ruby-crowned Kinglet",0.816042840480804,"SMM01","20230607",23,51,1431,NA
"33","Ruby-crowned Kinglet",0.379196643829346,"SMM01","20230607",41,45,2505,NA
"34","Ruby-crowned Kinglet",0.785087645053864,"SMM01","20230607",43,33,2613,NA
"35","Ruby-crowned Kinglet",0.716506063938141,"SMM01","20230608",49,15,2955,NA
"36","Ruby-crowned Kinglet",0.681265652179718,"SMM01","20230608",53,48,3228,NA
"37","Ruby-crowned Kinglet",0.804154753684998,"SMM01","20230609",39,3,2343,NA
"38","Ruby-crowned Kinglet",0.828590989112854,"SMM01","20230609",40,39,2439,NA
"39","Ruby-crowned Kinglet",0.610465526580811,"SMM01","20230609",47,39,2859,NA
"40","Ruby-crowned Kinglet",0.410377711057663,"SMM01","20230609",56,24,3384,NA
"41","Ruby-crowned Kinglet",0.40591898560524,"SMM01","20230609",56,48,3408,NA
"42","Ruby-crowned Kinglet",0.371354401111603,"SMM01","20230609",58,12,3492,NA
"43","Ruby-crowned Kinglet",0.430459141731262,"SMM01","20230610",36,51,2211,NA
"44","Ruby-crowned Kinglet",0.881735801696777,"SMM01","20230610",43,12,2592,NA
"45","Ruby-crowned Kinglet",0.647866904735565,"SMM01","20230610",43,51,2631,NA
"46","Ruby-crowned Kinglet",0.34235617518425,"SMM01","20230610",44,6,2646,NA
"47","Ruby-crowned Kinglet",0.860054016113281,"SMM01","20230610",45,57,2757,NA
"48","Ruby-crowned Kinglet",0.73510867357254,"SMM01","20230611",31,39,1899,NA
"49","Ruby-crowned Kinglet",0.741479218006134,"SMM01","20230611",38,39,2319,NA
"50","Ruby-crowned Kinglet",0.366085529327393,"SMM01","20230617",37,36,2256,NA
"51","Ruby-crowned Kinglet",0.312075108289719,"SMM01","20230620",49,0,2940,NA
"52","Ruby-crowned Kinglet",0.928069531917572,"SMM01","20230621",31,57,1917,NA
"53","Ruby-crowned Kinglet",0.504781723022461,"SMM01","20230621",40,54,2454,NA
"54","Ruby-crowned Kinglet",0.608834028244019,"SMM01","20230621",40,57,2457,NA
"55","Ruby-crowned Kinglet",0.42678040266037,"SMM01","20230621",41,3,2463,NA
"56","Ruby-crowned Kinglet",0.953454077243805,"SMM01","20230621",41,15,2475,NA
"57","Ruby-crowned Kinglet",0.309553146362305,"SMM01","20230621",41,33,2493,NA
"58","Ruby-crowned Kinglet",0.712615132331848,"SMM01","20230621",42,15,2535,NA
"59","Ruby-crowned Kinglet",0.881157219409943,"SMM01","20230621",42,27,2547,NA
"60","Ruby-crowned Kinglet",0.835583209991455,"SMM01","20230621",43,3,2583,NA
"61","Ruby-crowned Kinglet",0.494688898324966,"SMM01","20230621",47,18,2838,NA
"62","Ruby-crowned Kinglet",0.332712471485138,"SMM01","20230622",31,30,1890,NA
"63","Ruby-crowned Kinglet",0.381173729896545,"SMM01","20230622",34,6,2046,NA
"64","Ruby-crowned Kinglet",0.35172438621521,"SMM01","20230623",56,54,3414,NA
"65","Ruby-crowned Kinglet",0.467802166938782,"SMM01","20230624",37,45,2265,NA
"66","Ruby-crowned Kinglet",0.788029491901398,"SMM01","20230624",38,45,2325,NA
"67","Ruby-crowned Kinglet",0.383149683475494,"SMM02","20230601",33,3,1983,NA
"68","Ruby-crowned Kinglet",0.376827567815781,"SMM02","20230603",16,57,1017,NA
"69","Ruby-crowned Kinglet",0.400511205196381,"SMM02","20230603",18,27,1107,NA
"70","Ruby-crowned Kinglet",0.555756688117981,"SMM02","20230604",20,24,1224,NA
"71","Ruby-crowned Kinglet",0.443398684263229,"SMM02","20230604",31,12,1872,NA
"72","Ruby-crowned Kinglet",0.774088382720947,"SMM02","20230605",20,0,1200,NA
"73","Ruby-crowned Kinglet",0.303767532110214,"SMM02","20230605",26,3,1563,NA
"74","Ruby-crowned Kinglet",0.556603789329529,"SMM02","20230605",27,12,1632,NA
"75","Ruby-crowned Kinglet",0.373018950223923,"SMM02","20230605",27,27,1647,NA
"76","Ruby-crowned Kinglet",0.36160597205162,"SMM02","20230605",29,27,1767,NA
"77","Ruby-crowned Kinglet",0.639748156070709,"SMM02","20230605",36,30,2190,NA
"78","Ruby-crowned Kinglet",0.667248964309692,"SMM02","20230605",46,30,2790,NA
