"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","Swainson's Thrush",0.911286354064941,"SMM01","20230602",14,51,891,NA
"2","Swainson's Thrush",0.537104070186615,"SMM01","20230602",15,6,906,NA
"3","Swainson's Thrush",0.346456408500671,"SMM01","20230609",54,39,3279,NA
"4","Swainson's Thrush",0.618616759777069,"SMM01","20230618",7,15,435,NA
"5","Swainson's Thrush",0.3526451587677,"SMM01","20230618",7,24,444,NA
"6","Swainson's Thrush",0.671370208263397,"SMM01","20230618",9,27,567,NA
"7","Swainson's Thrush",0.526297092437744,"SMM01","20230618",10,36,636,NA
"8","Swainson's Thrush",0.325688898563385,"SMM01","20230618",10,51,651,NA
"9","Swainson's Thrush",0.399080574512482,"SMM01","20230618",11,51,711,NA
"10","Swainson's Thrush",0.55466890335083,"SMM01","20230618",11,57,717,NA
"11","Swainson's Thrush",0.323990821838379,"SMM01","20230618",12,9,729,NA
"12","Swainson's Thrush",0.655019819736481,"SMM01","20230618",12,33,753,NA
"13","Swainson's Thrush",0.416398644447327,"SMM01","20230618",12,57,777,NA
"14","Swainson's Thrush",0.803898394107819,"SMM01","20230618",13,6,786,NA
"15","Swainson's Thrush",0.62306410074234,"SMM01","20230618",13,48,828,NA
"16","Swainson's Thrush",0.919762670993805,"SMM01","20230618",13,57,837,NA
"17","Swainson's Thrush",0.600760340690613,"SMM01","20230618",14,54,894,NA
"18","Swainson's Thrush",0.836367309093475,"SMM01","20230618",15,9,909,NA
"19","Swainson's Thrush",0.701273739337921,"SMM01","20230618",15,27,927,NA
"20","Swainson's Thrush",0.895148158073425,"SMM01","20230618",15,33,933,NA
"21","Swainson's Thrush",0.379479169845581,"SMM01","20230618",15,48,948,NA
"22","Swainson's Thrush",0.304051131010056,"SMM01","20230618",16,15,975,NA
"23","Swainson's Thrush",0.670994222164154,"SMM01","20230618",16,21,981,NA
"24","Swainson's Thrush",0.484365284442902,"SMM01","20230618",16,36,996,NA
"25","Swainson's Thrush",0.300332367420197,"SMM01","20230618",17,3,1023,NA
"26","Swainson's Thrush",0.779241800308228,"SMM01","20230618",17,9,1029,NA
"27","Swainson's Thrush",0.597823917865753,"SMM01","20230618",17,15,1035,NA
"28","Swainson's Thrush",0.935786247253418,"SMM01","20230618",17,36,1056,NA
"29","Swainson's Thrush",0.684136688709259,"SMM01","20230618",17,57,1077,NA
"30","Swainson's Thrush",0.785034000873566,"SMM01","20230618",19,12,1152,NA
"31","Swainson's Thrush",0.757985353469849,"SMM01","20230618",19,18,1158,NA
"32","Swainson's Thrush",0.588271081447601,"SMM01","20230618",20,3,1203,NA
