"","rowid","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1",1,"Warbling Vireo",0.374230980873108,"SMM01",20230619,26,18,1578,1
"2",2,"Warbling Vireo",0.386727869510651,"SMM01",20230623,50,57,3057,1
"3",3,"Warbling Vireo",0.536857426166534,"SMM01",20230625,40,51,2451,1
"4",4,"Warbling Vireo",0.327775567770004,"SMM02",20230612,58,9,3489,1
"5",5,"Warbling Vireo",0.511878728866577,"SMM02",20230622,55,18,3318,1
"6",6,"Warbling Vireo",0.524888336658478,"SMM02",20230623,38,27,2307,1
"7",7,"Warbling Vireo",0.720668435096741,"SMM02",20230624,53,9,3189,1
"8",8,"Warbling Vireo",0.311858236789703,"SMM02",20230625,49,45,2985,1
"9",9,"Warbling Vireo",0.59579211473465,"SMM05",20230601,53,24,3204,1
"10",10,"Warbling Vireo",0.592370629310608,"SMM05",20230601,53,39,3219,1
"11",11,"Warbling Vireo",0.63019871711731,"SMM05",20230601,54,42,3282,1
"12",12,"Warbling Vireo",0.515284538269043,"SMM05",20230602,20,51,1251,1
"13",13,"Warbling Vireo",0.455249041318893,"SMM05",20230602,22,57,1377,1
"14",14,"Warbling Vireo",0.573413610458374,"SMM05",20230602,29,48,1788,1
"15",15,"Warbling Vireo",0.389778673648834,"SMM05",20230602,31,39,1899,1
"16",16,"Warbling Vireo",0.702795326709747,"SMM05",20230602,43,33,2613,1
"17",17,"Warbling Vireo",0.450676620006561,"SMM05",20230603,2,6,126,1
"18",18,"Warbling Vireo",0.732072949409485,"SMM05",20230603,7,42,462,1
"19",19,"Warbling Vireo",0.37211200594902,"SMM05",20230603,10,54,654,1
"20",20,"Warbling Vireo",0.357094138860703,"SMM05",20230603,11,42,702,1
"21",21,"Warbling Vireo",0.489848136901855,"SMM05",20230603,14,12,852,1
"22",22,"Warbling Vireo",0.46270215511322,"SMM05",20230603,16,45,1005,1
"23",23,"Warbling Vireo",0.724515080451965,"SMM05",20230603,17,3,1023,1
"24",24,"Warbling Vireo",0.600595891475677,"SMM05",20230603,17,18,1038,1
"25",25,"Warbling Vireo",0.464158475399017,"SMM05",20230603,21,9,1269,1
"26",26,"Warbling Vireo",0.67136687040329,"SMM05",20230604,1,21,81,1
"27",27,"Warbling Vireo",0.724300026893616,"SMM05",20230604,2,42,162,1
"28",28,"Warbling Vireo",0.324137002229691,"SMM05",20230604,3,39,219,NA
"29",29,"Warbling Vireo",0.329581171274185,"SMM05",20230604,5,24,324,NA
"30",30,"Warbling Vireo",0.465812772512436,"SMM05",20230604,5,30,330,NA
"31",31,"Warbling Vireo",0.544792711734772,"SMM05",20230604,6,18,378,NA
"32",32,"Warbling Vireo",0.581276655197144,"SMM05",20230604,6,45,405,NA
"33",33,"Warbling Vireo",0.399502485990524,"SMM05",20230604,13,27,807,NA
"34",34,"Warbling Vireo",0.636574745178223,"SMM05",20230604,13,33,813,NA
"35",35,"Warbling Vireo",0.419499605894089,"SMM05",20230605,2,9,129,NA
"36",36,"Warbling Vireo",0.30819907784462,"SMM05",20230605,2,51,171,NA
"37",37,"Warbling Vireo",0.31629940867424,"SMM05",20230605,4,3,243,NA
"38",38,"Warbling Vireo",0.338505119085312,"SMM05",20230605,6,18,378,NA
"39",39,"Warbling Vireo",0.302124351263046,"SMM05",20230605,7,9,429,NA
"40",40,"Warbling Vireo",0.33530181646347,"SMM05",20230605,14,9,849,NA
"41",41,"Warbling Vireo",0.443345695734024,"SMM05",20230605,17,48,1068,NA
"42",42,"Warbling Vireo",0.345818549394608,"SMM05",20230605,22,9,1329,NA
"43",43,"Warbling Vireo",0.429634928703308,"SMM05",20230614,0,45,45,NA
"44",44,"Warbling Vireo",0.581069827079773,"SMM05",20230614,8,36,516,NA
"45",45,"Warbling Vireo",0.397437661886215,"SMM05",20230614,11,33,693,NA
"46",46,"Warbling Vireo",0.763012111186981,"SMM05",20230614,18,57,1137,NA
"47",47,"Warbling Vireo",0.618192434310913,"SMM05",20230614,28,33,1713,NA
"48",48,"Warbling Vireo",0.328961580991745,"SMM05",20230614,30,45,1845,NA
"49",49,"Warbling Vireo",0.544151067733765,"SMM05",20230614,35,27,2127,NA
"50",50,"Warbling Vireo",0.852025508880615,"SMM05",20230614,35,30,2130,NA
"51",51,"Warbling Vireo",0.336531043052673,"SMM05",20230614,37,45,2265,NA
"52",52,"Warbling Vireo",0.554983794689178,"SMM05",20230614,43,9,2589,NA
"53",53,"Warbling Vireo",0.683800756931305,"SMM05",20230614,43,15,2595,NA
"54",54,"Warbling Vireo",0.358288317918777,"SMM05",20230614,48,48,2928,NA
"55",55,"Warbling Vireo",0.584898173809052,"SMM05",20230614,49,9,2949,NA
"56",56,"Warbling Vireo",0.709870636463165,"SMM05",20230614,52,9,3129,NA
"57",57,"Warbling Vireo",0.844302177429199,"SMM05",20230614,52,45,3165,NA
