"","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"1","Western Tanager",0.346166759729385,"SMM01","20230601",54,12,3252,NA
"2","Western Tanager",0.519266068935394,"SMM01","20230602",47,9,2829,NA
"3","Western Tanager",0.681608736515045,"SMM01","20230603",38,39,2319,NA
"4","Western Tanager",0.570106446743011,"SMM01","20230603",43,36,2616,NA
"5","Western Tanager",0.729634761810303,"SMM01","20230604",25,6,1506,NA
"6","Western Tanager",0.319725871086121,"SMM01","20230604",50,9,3009,NA
"7","Western Tanager",0.418705463409424,"SMM01","20230604",58,24,3504,NA
"8","Western Tanager",0.313595950603485,"SMM01","20230605",25,9,1509,NA
"9","Western Tanager",0.602438747882843,"SMM01","20230608",44,27,2667,NA
"10","Western Tanager",0.361471056938171,"SMM01","20230610",22,6,1326,NA
"11","Western Tanager",0.624234914779663,"SMM01","20230612",23,42,1422,NA
"12","Western Tanager",0.539189696311951,"SMM01","20230612",28,27,1707,NA
"13","Western Tanager",0.787416934967041,"SMM01","20230613",41,57,2517,NA
"14","Western Tanager",0.372615963220596,"SMM01","20230616",55,24,3324,NA
"15","Western Tanager",0.676232635974884,"SMM01","20230617",46,33,2793,NA
"16","Western Tanager",0.841839075088501,"SMM01","20230620",39,45,2385,NA
"17","Western Tanager",0.422221720218658,"SMM01","20230621",4,0,240,NA
"18","Western Tanager",0.662287175655365,"SMM01","20230621",8,27,507,NA
"19","Western Tanager",0.706912577152252,"SMM01","20230621",23,6,1386,NA
"20","Western Tanager",0.677397787570953,"SMM01","20230622",5,3,303,NA
"21","Western Tanager",0.357674539089203,"SMM01","20230622",6,42,402,NA
"22","Western Tanager",0.482481181621552,"SMM01","20230622",17,27,1047,NA
"23","Western Tanager",0.712836802005768,"SMM01","20230622",19,57,1197,NA
"24","Western Tanager",0.407000243663788,"SMM01","20230622",27,54,1674,NA
"25","Western Tanager",0.625250399112701,"SMM01","20230622",30,18,1818,NA
"26","Western Tanager",0.75510185956955,"SMM01","20230623",17,0,1020,NA
"27","Western Tanager",0.423818498849869,"SMM01","20230623",25,36,1536,NA
"28","Western Tanager",0.336315870285034,"SMM01","20230623",49,30,2970,NA
"29","Western Tanager",0.870796144008636,"SMM01","20230624",1,48,108,NA
"30","Western Tanager",0.465190947055817,"SMM01","20230624",4,48,288,NA
"31","Western Tanager",0.494836866855621,"SMM01","20230624",21,6,1266,NA
"32","Western Tanager",0.580026745796204,"SMM01","20230624",21,12,1272,NA
"33","Western Tanager",0.565906047821045,"SMM01","20230624",26,51,1611,NA
"34","Western Tanager",0.32416358590126,"SMM01","20230626",25,57,1557,NA
"35","Western Tanager",0.5267054438591,"SMM01","20230626",32,27,1947,NA
"36","Western Tanager",0.736546277999878,"SMM01","20230626",51,18,3078,NA
"37","Western Tanager",0.455182582139969,"SMM02","20230602",56,36,3396,NA
"38","Western Tanager",0.768706142902374,"SMM02","20230603",48,48,2928,NA
"39","Western Tanager",0.844894528388977,"SMM02","20230603",48,51,2931,NA
"40","Western Tanager",0.424063622951508,"SMM02","20230610",27,45,1665,NA
"41","Western Tanager",0.87295013666153,"SMM02","20230610",48,33,2913,NA
"42","Western Tanager",0.320141762495041,"SMM02","20230611",15,51,951,NA
"43","Western Tanager",0.667629182338715,"SMM02","20230612",6,3,363,NA
"44","Western Tanager",0.394787013530731,"SMM02","20230612",8,24,504,NA
"45","Western Tanager",0.50804215669632,"SMM02","20230612",16,0,960,NA
"46","Western Tanager",0.317564964294434,"SMM02","20230612",21,36,1296,NA
"47","Western Tanager",0.868698716163635,"SMM02","20230612",36,0,2160,NA
"48","Western Tanager",0.667727589607239,"SMM02","20230614",11,36,696,NA
"49","Western Tanager",0.408214628696442,"SMM02","20230614",13,36,816,NA
"50","Western Tanager",0.55618292093277,"SMM02","20230614",13,54,834,NA
"51","Western Tanager",0.741755723953247,"SMM02","20230615",21,12,1272,NA
"52","Western Tanager",0.344145596027374,"SMM02","20230618",4,12,252,NA
"53","Western Tanager",0.574599385261536,"SMM02","20230618",5,3,303,NA
"54","Western Tanager",0.549153387546539,"SMM02","20230618",21,36,1296,NA
"55","Western Tanager",0.681883752346039,"SMM02","20230620",33,54,2034,NA
"56","Western Tanager",0.71650218963623,"SMM02","20230620",34,24,2064,NA
"57","Western Tanager",0.346889555454254,"SMM02","20230620",39,0,2340,NA
"58","Western Tanager",0.300442785024643,"SMM02","20230620",39,3,2343,NA
"59","Western Tanager",0.322529435157776,"SMM02","20230621",8,48,528,NA
"60","Western Tanager",0.324445247650146,"SMM02","20230621",15,54,954,NA
"61","Western Tanager",0.498997569084167,"SMM02","20230621",55,27,3327,NA
"62","Western Tanager",0.614557921886444,"SMM02","20230622",3,33,213,NA
"63","Western Tanager",0.595808506011963,"SMM02","20230622",7,18,438,NA
"64","Western Tanager",0.383942663669586,"SMM02","20230622",14,30,870,NA
"65","Western Tanager",0.514291226863861,"SMM02","20230622",21,3,1263,NA
"66","Western Tanager",0.772801160812378,"SMM02","20230622",29,12,1752,NA
"67","Western Tanager",0.367920815944672,"SMM02","20230623",2,48,168,NA
"68","Western Tanager",0.316392838954926,"SMM02","20230623",15,6,906,NA
"69","Western Tanager",0.410498648881912,"SMM02","20230624",0,18,18,NA
"70","Western Tanager",0.480249106884003,"SMM02","20230624",6,24,384,NA
"71","Western Tanager",0.396760225296021,"SMM02","20230624",7,30,450,NA
"72","Western Tanager",0.404682636260986,"SMM02","20230624",9,51,591,NA
"73","Western Tanager",0.365753382444382,"SMM02","20230624",10,36,636,NA
"74","Western Tanager",0.427289724349976,"SMM02","20230624",21,57,1317,NA
"75","Western Tanager",0.319065690040588,"SMM02","20230624",28,24,1704,NA
"76","Western Tanager",0.613674461841583,"SMM02","20230624",29,12,1752,NA
"77","Western Tanager",0.503176927566528,"SMM02","20230624",59,42,3582,NA
"78","Western Tanager",0.403215259313583,"SMM02","20230626",9,9,549,NA
"79","Western Tanager",0.508059680461884,"SMM02","20230626",13,54,834,NA
"80","Western Tanager",0.332922071218491,"SMM02","20230626",37,42,2262,NA
"81","Western Tanager",0.967019855976105,"SMM05","20230601",55,33,3333,NA
"82","Western Tanager",0.477884352207184,"SMM05","20230614",42,30,2550,NA
"83","Western Tanager",0.97662353515625,"SMM05","20230614",58,42,3522,NA
"84","Western Tanager",0.972732067108154,"SMM05","20230616",2,6,126,NA
"85","Western Tanager",0.577323853969574,"SMM05","20230616",2,39,159,NA
"86","Western Tanager",0.531058371067047,"SMM05","20230616",4,18,258,NA
"87","Western Tanager",0.843298852443695,"SMM05","20230616",11,39,699,NA
"88","Western Tanager",0.985113263130188,"SMM05","20230616",21,45,1305,NA
"89","Western Tanager",0.962130725383759,"SMM05","20230616",21,54,1314,NA
"90","Western Tanager",0.390593260526657,"SMM05","20230616",22,27,1347,NA
"91","Western Tanager",0.995250940322876,"SMM05","20230616",24,12,1452,NA
"92","Western Tanager",0.823314547538757,"SMM05","20230616",28,54,1734,NA
"93","Western Tanager",0.617248356342316,"SMM05","20230617",1,45,105,NA
"94","Western Tanager",0.953727662563324,"SMM05","20230617",2,42,162,NA
"95","Western Tanager",0.947393953800201,"SMM05","20230617",5,6,306,NA
"96","Western Tanager",0.709667503833771,"SMM05","20230617",23,9,1389,NA
"97","Western Tanager",0.874524414539337,"SMM05","20230617",27,33,1653,NA
"98","Western Tanager",0.852709889411926,"SMM05","20230617",27,36,1656,NA
"99","Western Tanager",0.374369114637375,"SMM05","20230617",28,3,1683,NA
"100","Western Tanager",0.326930403709412,"SMM05","20230617",31,27,1887,NA
"101","Western Tanager",0.702957391738892,"SMM05","20230617",36,0,2160,NA
"102","Western Tanager",0.997357785701752,"SMM05","20230617",38,21,2301,NA
"103","Western Tanager",0.866254448890686,"SMM05","20230618",29,42,1782,NA
"104","Western Tanager",0.903433263301849,"SMM05","20230619",2,30,150,NA
"105","Western Tanager",0.750842392444611,"SMM05","20230619",2,36,156,NA
"106","Western Tanager",0.896065652370453,"SMM05","20230619",3,3,183,NA
"107","Western Tanager",0.400914490222931,"SMM05","20230619",3,6,186,NA
"108","Western Tanager",0.544119119644165,"SMM05","20230619",4,0,240,NA
"109","Western Tanager",0.359154313802719,"SMM05","20230619",5,36,336,NA
"110","Western Tanager",0.560518264770508,"SMM05","20230619",7,57,477,NA
"111","Western Tanager",0.630155265331268,"SMM05","20230619",10,15,615,NA
"112","Western Tanager",0.814608454704285,"SMM05","20230619",13,24,804,NA
"113","Western Tanager",0.980225026607513,"SMM05","20230619",14,0,840,NA
"114","Western Tanager",0.911486804485321,"SMM05","20230619",17,0,1020,NA
"115","Western Tanager",0.879010677337646,"SMM05","20230619",42,6,2526,NA
"116","Western Tanager",0.811755478382111,"SMM05","20230623",39,15,2355,NA
"117","Western Tanager",0.959517180919647,"SMM05","20230626",2,54,174,NA
"118","Western Tanager",0.877028942108154,"SMM05","20230626",15,24,924,NA
"119","Western Tanager",0.402781188488007,"SMM05","20230626",16,36,996,NA
"120","Western Tanager",0.985931754112244,"SMM05","20230626",25,21,1521,NA
"121","Western Tanager",0.800556778907776,"SMM05","20230626",26,33,1593,NA
"122","Western Tanager",0.450257062911987,"SMM05","20230626",26,57,1617,NA
"123","Western Tanager",0.989017844200134,"SMM05","20230626",31,54,1914,NA
"124","Western Tanager",0.85917067527771,"SMM05","20230626",33,0,1980,NA
"125","Western Tanager",0.797227442264557,"SMM05","20230626",35,12,2112,NA
"126","Western Tanager",0.616798162460327,"SMM07","20230606",57,9,3429,NA
"127","Western Tanager",0.389179825782776,"SMM07","20230610",25,6,1506,NA
"128","Western Tanager",0.338318079710007,"SMM08","20230602",59,21,3561,NA
"129","Western Tanager",0.460471093654633,"SMM08","20230610",39,33,2373,NA
"130","Western Tanager",0.461337864398956,"SMM08","20230626",9,0,540,NA
