Net generation for all sectors,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=008&geo=g0fvvvtvvvvv&sec=g&freq=A&start=2001&end=2024&ctype=columnchart&ltype=pin&rtype=s&rse=0&maptype=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Nov 10 2025 05:11:13 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,
All fuels (utility-scale),,ELEC.GEN.ALL-US-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Other renewables,,ELEC.GEN.AOR-US-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind,thousand megawatthours,ELEC.GEN.WND-US-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind : United States,thousand megawatthours,ELEC.GEN.WND-US-99.A,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167840,181655,190719,226993,254303,272667,295882,337938,378197,434297,421141,451904
Wind : New England,,ELEC.GEN.WND-NEW-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind : Connecticut,thousand megawatthours,ELEC.GEN.WND-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,12,12,12,13,13,10,10
Wind : Maine,thousand megawatthours,ELEC.GEN.WND-ME-99.A,--,--,--,--,--,--,99,132,299,499,707,887,1048,1097,1296,1667,2333,2384,2494,2395,2544,2716,2339,2446
Wind : Massachusetts,thousand megawatthours,ELEC.GEN.WND-MA-99.A,--,0,--,--,--,--,--,4,6,22,61,90,205,225,215,216,233,221,211,238,209,216,182,169
Wind : New Hampshire,thousand megawatthours,ELEC.GEN.WND-NH-99.A,--,--,--,--,--,--,--,10,62,76,66,209,389,412,423,432,412,407,433,525,504,482,411,445
Wind : Rhode Island,thousand megawatthours,ELEC.GEN.WND-RI-99.A,--,--,--,--,--,--,--,--,--,3,3,1,3,10,10,27,149,159,206,215,172,209,169,178
