"","X","rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Conf.Breaks","Weight","True.Positive"
"1",1,1,67007,"UF2-9",20240605,NA,4,54,"Hooded Warbler",0.213236764073372,"20240605_060400-216851842.flac",2,0.3,1
"2",2,2,67007,"UF2-9",20240608,NA,4,0,"Hooded Warbler",0.562991797924042,"20240608_060400-216851476.flac",3,0.5,1
"3",3,3,67007,"UF2-9",20240603,NA,3,30,"Hooded Warbler",0.497444182634354,"20240603_070300-216851861.flac",3,0.5,1
"4",4,4,67007,"UF2-9",20240608,NA,2,27,"Hooded Warbler",0.8158158659935,"20240608_070200-216851990.flac",3,0.5,1
"5",5,5,67004,"UF2-12",20240517,NA,1,6,"Hooded Warbler",0.217416569590569,"20240517_070100-216852432.flac",2,0.3,0
"6",6,6,66999,"UF3-2",20240606,NA,0,18,"Hooded Warbler",0.172419652342796,"20240606_060000-216848295.flac",1,0.2,0
"7",7,7,67004,"UF2-12",20240604,NA,2,6,"Hooded Warbler",0.401069134473801,"20240604_080200-216852448.flac",3,0.5,1
"8",8,8,67002,"UF3-4",20240520,NA,4,45,"Hooded Warbler",0.150585800409317,"20240520_080400-216848841.flac",1,0.2,1
"9",9,9,67003,"UF2-1",20240603,NA,2,45,"Hooded Warbler",0.151826277375221,"20240603_070200-216850294.flac",1,0.2,1
"10",10,10,67001,"UF3-7",20240618,NA,0,51,"Hooded Warbler",0.156420990824699,"20240618_060000-216849233.flac",1,0.2,0
"11",11,11,67005,"UF2-4",20240603,NA,4,18,"Hooded Warbler",0.19029726088047,"20240603_060400-216850844.flac",1,0.2,1
"12",12,12,67007,"UF2-9",20240601,NA,3,39,"Hooded Warbler",0.213006496429443,"20240601_070300-216851581.flac",2,0.3,0
"13",13,13,67007,"UF2-9",20240602,NA,0,3,"Hooded Warbler",0.537846863269806,"20240602_080000-216851958.flac",3,0.5,1
"14",14,14,66998,"UF3-1",20240607,NA,3,9,"Hooded Warbler",0.159519329667091,"20240607_060300-216847851.flac",1,0.2,0
"15",15,15,67001,"UF3-7",20240618,NA,4,9,"Hooded Warbler",0.153629064559937,"20240618_080400-216849152.flac",1,0.2,0
"16",16,16,67007,"UF2-9",20240604,NA,4,30,"Hooded Warbler",0.551586210727692,"20240604_080400-216852374.flac",3,0.5,0
"17",17,17,66998,"UF3-1",20240605,NA,0,42,"Hooded Warbler",0.157463327050209,"20240605_060000-216847798.flac",1,0.2,0
"18",18,18,67007,"UF2-9",20240529,NA,2,57,"Hooded Warbler",0.24829138815403,"20240529_070200-216852130.flac",2,0.3,1
"19",19,19,67003,"UF2-1",20240524,NA,2,24,"Hooded Warbler",0.176028043031693,"20240524_070200-216850389.flac",1,0.2,0
"20",20,20,67001,"UF3-7",20240622,NA,1,42,"Hooded Warbler",0.176018446683884,"20240622_060100-216849184.flac",1,0.2,1
"21",21,21,66998,"UF3-1",20240613,NA,4,54,"Hooded Warbler",0.17867349088192,"20240613_070400-216847766.flac",1,0.2,1
