"","Hour","Minute","ARU.ID","ARU.Name","Date","File"
"1",6,0,"66998","UF3-1",2024-05-17,"20240517_060000-216848059.flac"
"2",6,1,"66998","UF3-1",2024-05-17,"20240517_060100-216848060.flac"
"3",6,2,"66998","UF3-1",2024-05-17,"20240517_060200-216848061.flac"
"4",6,3,"66998","UF3-1",2024-05-17,"20240517_060300-216848062.flac"
"5",6,4,"66998","UF3-1",2024-05-17,"20240517_060400-216848063.flac"
"6",7,0,"66998","UF3-1",2024-05-17,"20240517_070000-216848210.flac"
"7",7,1,"66998","UF3-1",2024-05-17,"20240517_070100-216848211.flac"
"8",7,2,"66998","UF3-1",2024-05-17,"20240517_070200-216848212.flac"
"9",7,3,"66998","UF3-1",2024-05-17,"20240517_070300-216848213.flac"
"10",7,4,"66998","UF3-1",2024-05-17,"20240517_070400-216848214.flac"
"11",8,0,"66998","UF3-1",2024-05-17,"20240517_080000-216848283.flac"
"12",8,1,"66998","UF3-1",2024-05-17,"20240517_080100-216848284.flac"
"13",8,2,"66998","UF3-1",2024-05-17,"20240517_080200-216848285.flac"
"14",8,3,"66998","UF3-1",2024-05-17,"20240517_080300-216848286.flac"
"15",8,4,"66998","UF3-1",2024-05-17,"20240517_080400-216848287.flac"
"16",6,0,"66998","UF3-1",2024-05-18,"20240518_060000-216848256.flac"
"17",6,1,"66998","UF3-1",2024-05-18,"20240518_060100-216848257.flac"
"18",6,2,"66998","UF3-1",2024-05-18,"20240518_060200-216848258.flac"
"19",6,3,"66998","UF3-1",2024-05-18,"20240518_060300-216848259.flac"
"20",6,4,"66998","UF3-1",2024-05-18,"20240518_060400-216848260.flac"
"21",7,0,"66998","UF3-1",2024-05-18,"20240518_070000-216848234.flac"
"22",7,1,"66998","UF3-1",2024-05-18,"20240518_070100-216848235.flac"
"23",7,2,"66998","UF3-1",2024-05-18,"20240518_070200-216848236.flac"
"24",7,3,"66998","UF3-1",2024-05-18,"20240518_070300-216848237.flac"
"25",7,4,"66998","UF3-1",2024-05-18,"20240518_070400-216848238.flac"
"26",8,0,"66998","UF3-1",2024-05-18,"20240518_080000-216848173.flac"
"27",8,1,"66998","UF3-1",2024-05-18,"20240518_080100-216848174.flac"
"28",8,2,"66998","UF3-1",2024-05-18,"20240518_080200-216848175.flac"
"29",8,3,"66998","UF3-1",2024-05-18,"20240518_080300-216848176.flac"
"30",8,4,"66998","UF3-1",2024-05-18,"20240518_080400-216848177.flac"
"31",6,0,"66998","UF3-1",2024-05-19,"20240519_060000-216848178.flac"
"32",6,1,"66998","UF3-1",2024-05-19,"20240519_060100-216848179.flac"
"33",6,2,"66998","UF3-1",2024-05-19,"20240519_060200-216848180.flac"
"34",6,3,"66998","UF3-1",2024-05-19,"20240519_060300-216848181.flac"
"35",6,4,"66998","UF3-1",2024-05-19,"20240519_060400-216848182.flac"
"36",7,0,"66998","UF3-1",2024-05-19,"20240519_070000-216848251.flac"
"37",7,1,"66998","UF3-1",2024-05-19,"20240519_070100-216848252.flac"
"38",7,2,"66998","UF3-1",2024-05-19,"20240519_070200-216848253.flac"
"39",7,3,"66998","UF3-1",2024-05-19,"20240519_070300-216848254.flac"
"40",7,4,"66998","UF3-1",2024-05-19,"20240519_070400-216848255.flac"
"41",8,0,"66998","UF3-1",2024-05-19,"20240519_080000-216848153.flac"
"42",8,1,"66998","UF3-1",2024-05-19,"20240519_080100-216848154.flac"
"43",8,2,"66998","UF3-1",2024-05-19,"20240519_080200-216848155.flac"
"44",8,3,"66998","UF3-1",2024-05-19,"20240519_080300-216848156.flac"
"45",8,4,"66998","UF3-1",2024-05-19,"20240519_080400-216848157.flac"
"46",6,0,"66998","UF3-1",2024-05-20,"20240520_060000-216848122.flac"
"47",6,1,"66998","UF3-1",2024-05-20,"20240520_060100-216848123.flac"
