"rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Week","True.Positive"
1,67005,"UF2-4","20240529",7,1,24,"Acadian Flycatcher",0.710769414901733,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_070100.wav",22,NA
2,67006,"UF2-6","20240531",6,4,45,"Acadian Flycatcher",0.860843360424042,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_060400.wav",22,NA
3,67005,"UF2-4","20240602",6,0,54,"Acadian Flycatcher",0.311363250017166,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240602_060000.wav",22,NA
4,67003,"UF2-1","20240613",7,3,51,"Acadian Flycatcher",0.732072591781616,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240613_070300.wav",24,NA
5,67003,"UF2-1","20240604",8,0,6,"Acadian Flycatcher",0.816870987415314,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_080000.wav",23,NA
6,67000,"UF3-9","20240605",6,1,3,"Acadian Flycatcher",0.397768646478653,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240605_060100.wav",23,NA
7,67003,"UF2-1","20240604",8,4,15,"Acadian Flycatcher",0.997457444667816,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240604_080400.wav",23,NA
8,67006,"UF2-6","20240517",8,3,48,"Acadian Flycatcher",0.98224812746048,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240517_080300.wav",20,NA
9,67006,"UF2-6","20240611",7,0,27,"Acadian Flycatcher",0.32936704158783,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_070000.wav",24,NA
10,66998,"UF3-1","20240606",6,1,54,"Acadian Flycatcher",0.565112709999084,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_060100.wav",23,NA
11,67003,"UF2-1","20240606",7,2,57,"Acadian Flycatcher",0.881691217422485,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240606_070200.wav",23,NA
12,67003,"UF2-1","20240521",8,0,51,"Acadian Flycatcher",0.873852670192719,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240521_080000.wav",21,NA
13,67005,"UF2-4","20240610",8,0,3,"Acadian Flycatcher",0.871384978294373,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240610_080000.wav",24,NA
14,67005,"UF2-4","20240525",7,3,0,"Acadian Flycatcher",0.778455674648285,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240525_070300.wav",21,NA
15,67003,"UF2-1","20240605",7,4,15,"Acadian Flycatcher",0.564861297607422,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240605_070400.wav",23,NA
