"","rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Week","Weight","True.Positive","Real.ID"
"1",1,67000,"UF3-9",20240611,7,0,39,"Acadian Flycatcher",0.305185258388519,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_070000.wav",24,0.2,NA,NA
"2",2,67007,"UF2-9",20240529,6,4,18,"Acadian Flycatcher",0.643173515796661,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240529_060400.wav",22,0.7,NA,NA
"3",3,67003,"UF2-1",20240612,6,3,54,"Acadian Flycatcher",0.979525566101074,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240612_060300.wav",24,0.7,NA,NA
"4",4,67005,"UF2-4",20240519,7,4,27,"Acadian Flycatcher",0.749343276023865,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240519_070400.wav",20,0.7,NA,NA
"5",5,67003,"UF2-1",20240530,7,2,12,"Acadian Flycatcher",0.26961287856102,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_070200.wav",22,0.2,NA,NA
"6",6,67005,"UF2-4",20240526,6,4,15,"Acadian Flycatcher",0.560524642467499,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_060400.wav",21,0.7,NA,NA
"7",7,67001,"UF3-7",20240617,7,3,18,"Acadian Flycatcher",0.23334889113903,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240617_070300.wav",25,0.1,NA,NA
"8",8,66998,"UF3-1",20240607,6,4,12,"Acadian Flycatcher",0.492138266563416,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_060400.wav",23,0.2,NA,NA
"9",9,67005,"UF2-4",20240530,7,1,0,"Acadian Flycatcher",0.280242085456848,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_070100.wav",22,0.2,NA,NA
"10",10,67005,"UF2-4",20240523,8,4,48,"Acadian Flycatcher",0.436148345470428,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_080400.wav",21,0.2,NA,NA
"11",11,67006,"UF2-6",20240531,8,0,0,"Acadian Flycatcher",0.755213499069214,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240531_080000.wav",22,0.7,NA,NA
"12",12,67003,"UF2-1",20240522,7,1,51,"Acadian Flycatcher",0.714372992515564,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240522_070100.wav",21,0.7,NA,NA
"13",13,67005,"UF2-4",20240601,7,3,21,"Acadian Flycatcher",0.938143312931061,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070300.wav",22,0.7,NA,NA
"14",14,67005,"UF2-4",20240530,6,2,36,"Acadian Flycatcher",0.913733601570129,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_060200.wav",22,0.7,NA,NA
"15",15,67005,"UF2-4",20240528,8,2,24,"Acadian Flycatcher",0.765357136726379,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240528_080200.wav",22,0.7,NA,NA
"16",16,67003,"UF2-1",20240526,6,1,36,"Acadian Flycatcher",0.938514292240143,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240526_060100.wav",21,0.7,NA,NA
"17",17,66998,"UF3-1",20240530,6,4,48,"Acadian Flycatcher",0.516080975532532,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_060400.wav",22,0.7,NA,NA
"18",18,67003,"UF2-1",20240518,7,0,15,"Acadian Flycatcher",0.456615418195724,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240518_070000.wav",20,0.2,NA,NA
"19",19,67003,"UF2-1",20240610,6,2,36,"Acadian Flycatcher",0.989599943161011,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240610_060200.wav",24,0.7,NA,NA
"20",20,67005,"UF2-4",20240603,6,2,54,"Acadian Flycatcher",0.817517876625061,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240603_060200.wav",23,0.7,NA,NA
"21",21,67005,"UF2-4",20240607,7,0,12,"Acadian Flycatcher",0.868746161460876,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240607_070000.wav",23,0.7,NA,NA
"22",22,67003,"UF2-1",20240613,6,1,15,"Acadian Flycatcher",0.346344977617264,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240613_060100.wav",24,0.2,NA,NA
"23",23,67003,"UF2-1",20240605,6,1,45,"Acadian Flycatcher",0.680294513702393,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240605_060100.wav",23,0.7,NA,NA
"24",24,67003,"UF2-1",20240523,6,2,33,"Acadian Flycatcher",0.937765002250671,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_060200.wav",21,0.7,NA,NA
"25",25,67003,"UF2-1",20240521,6,0,9,"Acadian Flycatcher",0.34263876080513,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240521_060000.wav",21,0.2,NA,NA
"26",26,67000,"UF3-9",20240601,8,1,54,"Acadian Flycatcher",0.326816469430923,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_080100.wav",22,0.2,NA,NA
"27",27,67006,"UF2-6",20240530,8,2,24,"Acadian Flycatcher",0.923019111156464,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240530_080200.wav",22,0.7,NA,NA
"28",28,67003,"UF2-1",20240611,7,2,27,"Acadian Flycatcher",0.827896773815155,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_070200.wav",24,0.7,NA,NA
"29",29,66998,"UF3-1",20240608,6,1,15,"Acadian Flycatcher",0.627082169055939,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240608_060100.wav",23,0.7,NA,NA
"30",30,67005,"UF2-4",20240601,7,4,45,"Acadian Flycatcher",0.835618019104004,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240601_070400.wav",22,0.7,NA,NA
"31",31,67000,"UF3-9",20240611,6,4,3,"Acadian Flycatcher",0.20474661886692,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240611_060400.wav",24,0.1,NA,NA
"32",32,67005,"UF2-4",20240523,8,1,30,"Acadian Flycatcher",0.308993428945541,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Acadian_Flycatcher\20240523_080100.wav",21,0.2,NA,NA
